taskType,taskId,init,gpsTagId,notificationType,notificationTs,reminderCount,notficationAcceptTs,acceptanceTime,taskAcceptTs,taskAcceptTime,taskComp,taskCompTs,taskCompTime,responseTime,receptRating 
newImages,4,sys,0,null,1281439503610,0,0,-1281439503,0,0,0,0,0,-1281439503,0
annotate,2,user,0,null,0,0,0,0,1281439615111,1281439615,0,0,-1281439615,0,0
newImages,4,sys,0,null,1281439621825,0,1281439698600,76,0,-1281439698,0,0,0,-1281439621,0
photo opportunity,1,sys,59,null,1281439949303,0,1281440068818,119,1281440070643,1,0,1281440083343,12,134,3
photo,1,user,0,null,0,0,0,0,1281440020440,1281440020,0,0,-1281440020,0,0
newImages,4,sys,0,null,1281440053157,0,0,-1281440053,0,0,0,0,0,-1281440053,0
newImages,4,sys,0,null,1281440054585,0,0,-1281440054,0,0,0,0,0,-1281440054,0
newImages,4,sys,0,null,1281440096357,0,0,-1281440096,0,0,0,0,0,-1281440096,0
newImages,4,sys,0,null,1281440112153,0,0,-1281440112,0,0,0,0,0,-1281440112,0
photo,1,user,0,null,0,0,0,0,1281440161712,1281440161,0,0,-1281440161,0,0
newImages,4,sys,0,null,1281440170376,0,1281441098313,927,0,-1281441098,0,0,0,-1281440170,0
Q-Zone,2,sys,22,null,1281440414841,0,1281440430558,15,1281440434200,3,0,0,-1281440434,-1281440414,0
photo,1,user,0,null,0,0,0,0,1281440449654,1281440449,0,0,-1281440449,0,0
annotate,2,user,0,null,0,0,0,0,1281440506839,1281440506,0,0,-1281440506,0,0
photo,1,user,0,null,0,0,0,0,1281440571730,1281440571,0,0,-1281440571,0,0
photo,1,user,0,null,0,0,0,0,1281441089982,1281441089,0,0,-1281441089,0,0
photo,1,user,0,null,0,0,0,0,1281441636059,1281441636,0,0,-1281441636,0,0
photo,1,user,0,null,0,0,0,0,1281442653564,1281442653,0,0,-1281442653,0,0
photo,1,user,0,null,0,0,0,0,1281442701668,1281442701,0,0,-1281442701,0,0
annotate,2,user,0,null,0,0,0,0,1281442712245,1281442712,0,0,-1281442712,0,0
photo,1,user,0,null,0,0,0,0,1281442791016,1281442791,0,0,-1281442791,0,0
annotate,2,user,0,null,0,0,0,0,1281442837989,1281442837,0,0,-1281442837,0,0
photo,1,user,0,null,0,0,0,0,1281445125189,1281445125,0,0,-1281445125,0,0
photo,1,user,0,null,0,0,0,0,1281445164871,1281445164,0,0,-1281445164,0,0
photo,1,user,0,null,0,0,0,0,1281445199276,1281445199,0,0,-1281445199,0,0
annotate,2,user,0,null,0,0,0,0,1281445204490,1281445204,0,0,-1281445204,0,0
Q-Zone,2,sys,58,null,1281446061061,2,1281446130204,69,1281446132337,2,0,0,-1281446132,-1281446061,0
annotate,2,user,0,null,0,0,0,0,1281446069131,1281446069,0,0,-1281446069,0,0
photo,1,user,0,null,0,0,0,0,1281446082683,1281446082,0,0,-1281446082,0,0
photo_story,3,user,0,null,0,0,0,0,1281446147379,1281446147,0,0,-1281446147,0,0
photo,1,user,0,null,0,0,0,0,1281446181290,1281446181,0,0,-1281446181,0,0
newImages,4,sys,0,null,1281446188147,0,1281446197385,9,0,-1281446197,0,0,0,-1281446188,0
photo,1,user,0,null,0,0,0,0,1281446245532,1281446245,0,0,-1281446245,0,0
newImages,4,sys,0,null,1281446283145,0,0,-1281446283,0,0,0,0,0,-1281446283,0
newImages,4,sys,0,null,1281446308524,0,0,-1281446308,0,0,0,0,0,-1281446308,0
annotate,2,user,0,null,0,0,0,0,1281446333643,1281446333,0,1281446387755,54,1281446387,0
newImages,4,sys,0,null,1281446363488,0,0,-1281446363,0,0,0,0,0,-1281446363,0
annotate,2,user,0,null,0,0,0,0,1281446393604,1281446393,0,0,-1281446393,0,0
annotate,2,user,0,null,0,0,0,0,1281446421814,1281446421,0,0,-1281446421,0,0
photo,1,user,0,null,0,0,0,0,1281446503500,1281446503,0,0,-1281446503,0,0
newImages,4,sys,0,null,1281446547834,0,0,-1281446547,0,0,0,0,0,-1281446547,0
newImages,4,sys,0,null,1281446548866,0,1281446562163,13,0,-1281446562,0,0,0,-1281446548,0
newImages,4,sys,0,null,1281446569674,0,0,-1281446569,0,0,0,0,0,-1281446569,0
newImages,4,sys,0,null,1281446726905,0,1281446871279,144,0,-1281446871,0,0,0,-1281446726,0
annotate,2,user,0,null,0,0,0,0,1281446915457,1281446915,0,1281447052731,137,1281447052,0
photo,1,user,0,null,0,0,0,0,1281446999016,1281446999,0,0,-1281446999,0,0
photo,1,user,0,null,0,0,0,0,1281447311111,1281447311,0,0,-1281447311,0,0
photo_story,3,user,0,null,0,0,0,0,1281447750962,1281447750,0,0,-1281447750,0,0
photo,1,user,0,null,0,0,0,0,1281447776748,1281447776,0,0,-1281447776,0,0
lunch/break,3,sys,27,null,1281447804919,0,1281447971405,166,1281447977718,6,0,0,-1281447977,-1281447804,0
annotate,2,user,0,null,0,0,0,0,1281447955050,1281447955,0,0,-1281447955,0,0
photo_story,3,user,0,null,0,0,0,0,1281447993720,1281447993,0,0,-1281447993,0,0
photo,1,user,0,null,0,0,0,0,1281448577013,1281448577,0,0,-1281448577,0,0
photo opportunity,1,sys,23,null,1281448634565,0,1281448652712,18,1281448654524,1,0,1281448670955,16,36,3
photo,1,user,0,null,0,0,0,0,1281448797014,1281448797,0,0,-1281448797,0,0
photo,1,user,0,null,0,0,0,0,1281449093676,1281449093,0,0,-1281449093,0,0
photo opportunity,1,sys,55,null,1281449386878,0,1281449465821,78,1281449469471,3,0,1281449481423,11,94,3
photo,1,user,0,null,0,0,0,0,1281449494804,1281449494,0,0,-1281449494,0,0
annotate,2,user,0,null,0,0,0,0,1281449498690,1281449498,0,0,-1281449498,0,0
annotate,2,user,0,null,0,0,0,0,1281449663071,1281449663,0,1281449688898,25,1281449688,0
annotate,2,user,0,null,0,0,0,0,1281449706767,1281449706,0,0,-1281449706,0,0
newImages,4,sys,0,null,1281449729760,0,0,-1281449729,0,0,0,0,0,-1281449729,0
photo,1,user,0,null,0,0,0,0,1281449844816,1281449844,0,0,-1281449844,0,0
newImages,4,sys,0,null,1281449853755,0,1281450091997,238,0,-1281450091,0,0,0,-1281449853,0
annotate,2,user,0,null,0,0,0,0,1281449880380,1281449880,0,0,-1281449880,0,0
photo,1,user,0,null,0,0,0,0,1281450007306,1281450007,0,0,-1281450007,0,0
lunch/break,3,sys,50,null,1281450082250,0,1281452252080,2169,1281452295891,43,0,0,-1281452295,-1281450082,0
photo,1,user,0,null,0,0,0,0,1281450098425,1281450098,0,0,-1281450098,0,0
annotate,2,user,0,null,0,0,0,0,1281450129183,1281450129,0,1281450297393,168,1281450297,0
photo,1,user,0,null,0,0,0,0,1281450324292,1281450324,0,0,-1281450324,0,0
photo,1,user,0,null,0,0,0,0,1281450375873,1281450375,0,0,-1281450375,0,0
photo,1,user,0,null,0,0,0,0,1281450440771,1281450440,0,0,-1281450440,0,0
newImages,4,sys,0,null,1281450574354,0,0,-1281450574,0,0,0,0,0,-1281450574,0
photo,1,user,0,null,0,0,0,0,1281450646779,1281450646,0,0,-1281450646,0,0
photo,1,user,0,null,0,0,0,0,1281450658305,1281450658,0,0,-1281450658,0,0
photo,1,user,0,null,0,0,0,0,1281450677156,1281450677,0,0,-1281450677,0,0
newImages,4,sys,0,null,1281450954380,0,1281450963953,9,0,-1281450963,0,0,0,-1281450954,0
newImages,4,sys,0,null,1281450993662,0,0,-1281450993,0,0,0,0,0,-1281450993,0
newImages,4,sys,0,null,1281451049978,0,1281451057260,7,0,-1281451057,0,0,0,-1281451049,0
newImages,4,sys,0,null,1281451075223,0,0,-1281451075,0,0,0,0,0,-1281451075,0
newImages,4,sys,0,null,1281451116794,0,0,-1281451116,0,0,0,0,0,-1281451116,0
photo,1,user,0,null,0,0,0,0,1281451158066,1281451158,0,0,-1281451158,0,0
newImages,4,sys,0,null,1281451231118,0,0,-1281451231,0,0,0,0,0,-1281451231,0
newImages,4,sys,0,null,1281451255583,0,0,-1281451255,0,0,0,0,0,-1281451255,0
end of ride,1,sys,39,null,1281451321795,0,1281451821131,499,1281451828410,7,0,1281451835086,6,513,3
photo,1,user,0,null,0,0,0,0,1281451422765,1281451422,0,0,-1281451422,0,0
photo,1,user,0,null,0,0,0,0,1281451497974,1281451497,0,0,-1281451497,0,0
photo,1,user,0,null,0,0,0,0,1281451591201,1281451591,0,0,-1281451591,0,0
photo,1,user,0,null,0,0,0,0,1281451917104,1281451917,0,0,-1281451917,0,0
photo,1,user,0,null,0,0,0,0,1281451983042,1281451983,0,0,-1281451983,0,0
newImages,4,sys,0,null,1281453053129,0,0,-1281453053,0,0,0,0,0,-1281453053,0
newImages,4,sys,0,null,1281453088685,0,0,-1281453088,0,0,0,0,0,-1281453088,0
newImages,4,sys,0,null,1281453414118,0,1281454233724,819,0,-1281454233,0,0,0,-1281453414,0
photo,1,user,0,null,0,0,0,0,1281453894817,1281453894,0,0,-1281453894,0,0
photo_story,3,user,0,null,0,0,0,0,1281453953416,1281453953,0,0,-1281453953,0,0
newImages,4,sys,0,null,1281454493845,0,0,-1281454493,0,0,0,0,0,-1281454493,0
annotate,2,user,0,null,0,0,0,0,1281454593808,1281454593,0,0,-1281454593,0,0
photo_story,3,user,0,null,0,0,0,0,1281454609622,1281454609,0,0,-1281454609,0,0
lunch/break,3,sys,49,null,1281454777171,0,0,-1281454777,0,0,0,0,0,-1281454777,0
photo,1,user,0,null,0,0,0,0,1281518901242,1281518901,0,0,-1281518901,0,0
photo,1,user,0,null,0,0,0,0,1281518947886,1281518947,0,0,-1281518947,0,0
annotate,2,user,0,null,0,0,0,0,1281518985496,1281518985,0,0,-1281518985,0,0
annotate,2,user,0,null,0,0,0,0,1281519018915,1281519018,0,1281519128901,109,1281519128,0
annotate,2,user,0,null,0,0,0,0,1281519155398,1281519155,0,0,-1281519155,0,0
newImages,4,sys,0,null,1281519158458,0,0,-1281519158,0,0,0,0,0,-1281519158,0
newImages,4,sys,0,null,1281519186352,0,1281519276855,90,0,-1281519276,0,0,0,-1281519186,0
lunch/break,3,sys,49,null,1281519194886,0,1281519284843,89,0,-1281519284,0,0,0,-1281519194,0
photo_story,3,user,0,null,0,0,0,0,1281519215565,1281519215,0,0,-1281519215,0,0
annotate,2,user,0,null,0,0,0,0,1281519247961,1281519247,0,0,-1281519247,0,0
photo opportunity,1,sys,1,null,1281520715889,0,1281520792629,76,1281520798850,6,0,1281520811492,12,95,5
newImages,4,sys,0,null,1281520781181,0,0,-1281520781,0,0,0,0,0,-1281520781,0
newImages,4,sys,0,null,1281520812923,0,0,-1281520812,0,0,0,0,0,-1281520812,0
newImages,4,sys,0,null,1281520816282,0,1281520835281,18,0,-1281520835,0,0,0,-1281520816,0
Q-Zone,2,sys,3,null,1281520861848,3,1281520967314,105,1281521207177,239,0,1281521217522,10,355,4
newImages,4,sys,0,null,1281520874565,0,1281520895428,20,0,-1281520895,0,0,0,-1281520874,0
newImages,4,sys,0,null,1281520925420,0,1281520931437,6,0,-1281520931,0,0,0,-1281520925,0
newImages,4,sys,0,null,1281520948265,0,1281520978191,29,0,-1281520978,0,0,0,-1281520948,0
photo,1,user,0,null,0,0,0,0,1281521064862,1281521064,0,0,-1281521064,0,0
newImages,4,sys,0,null,1281521068194,0,0,-1281521068,0,0,0,0,0,-1281521068,0
annotate,2,user,0,null,0,0,0,0,1281521070076,1281521070,0,1281521144103,74,1281521144,0
newImages,4,sys,0,null,1281521106868,0,0,-1281521106,0,0,0,0,0,-1281521106,0
newImages,4,sys,0,null,1281521151721,0,1281521155440,3,0,-1281521155,0,0,0,-1281521151,0
newImages,4,sys,0,null,1281521164542,0,1281521177574,13,0,-1281521177,0,0,0,-1281521164,0
annotate,2,user,0,null,0,0,0,0,1281521262026,1281521262,0,0,-1281521262,0,0
annotate,2,user,0,null,0,0,0,0,1281521282684,1281521282,0,0,-1281521282,0,0
newImages,4,sys,0,null,1281521285917,0,1281521293599,7,0,-1281521293,0,0,0,-1281521285,0
newImages,4,sys,0,null,1281521308124,0,1281521347859,39,0,-1281521347,0,0,0,-1281521308,0
newImages,4,sys,0,null,1281521377000,0,1281521384867,7,0,-1281521384,0,0,0,-1281521377,0
annotate,2,user,0,null,0,0,0,0,1281521399070,1281521399,0,1281521457215,58,1281521457,0
newImages,4,sys,0,null,1281521406266,0,1281521472492,66,0,-1281521472,0,0,0,-1281521406,0
newImages,4,sys,0,null,1281521488956,0,1281521503165,14,0,-1281521503,0,0,0,-1281521488,0
annotate,2,user,0,null,0,0,0,0,1281521520158,1281521520,0,0,-1281521520,0,0
newImages,4,sys,0,null,1281521528537,0,1281521540999,12,0,-1281521540,0,0,0,-1281521528,0
newImages,4,sys,0,null,1281521546848,0,1281521578511,31,0,-1281521578,0,0,0,-1281521546,0
annotate,2,user,0,null,0,0,0,0,1281521558370,1281521558,0,0,-1281521558,0,0
annotate,2,user,0,null,0,0,0,0,1281521590106,1281521590,0,0,-1281521590,0,0
annotate,2,user,0,null,0,0,0,0,1281521633281,1281521633,0,0,-1281521633,0,0
newImages,4,sys,0,null,1281521668621,0,0,-1281521668,0,0,0,0,0,-1281521668,0
annotate,2,user,0,null,0,0,0,0,1281521713180,1281521713,0,1281521795972,82,1281521795,0
annotate,2,user,0,null,0,0,0,0,1281521812192,1281521812,0,0,-1281521812,0,0
newImages,4,sys,0,null,1281521888923,0,1281522256626,367,0,-1281522256,0,0,0,-1281521888,0
annotate,2,user,0,null,0,0,0,0,1281522235963,1281522235,0,0,-1281522235,0,0
end of ride,1,sys,40,null,1281522276839,0,1281522448938,172,0,-1281522448,0,0,0,-1281522276,0
photo,1,user,0,null,0,0,0,0,1281522461893,1281522461,0,0,-1281522461,0,0
newImages,4,sys,0,null,1281522545412,0,1281522573149,27,0,-1281522573,0,0,0,-1281522545,0
photo opportunity,1,sys,47,null,1281522638716,0,1281523005735,367,1281523525619,519,0,1281523538796,13,900,4
annotate,2,user,0,null,0,0,0,0,1281522664964,1281522664,0,0,-1281522664,0,0
newImages,4,sys,0,null,1281522700512,0,0,-1281522700,0,0,0,0,0,-1281522700,0
annotate,2,user,0,null,0,0,0,0,1281522705659,1281522705,0,1281522832423,126,1281522832,0
photo,1,user,0,null,0,0,0,0,1281522728973,1281522728,0,0,-1281522728,0,0
newImages,4,sys,0,null,1281522764502,0,1281522849329,84,0,-1281522849,0,0,0,-1281522764,0
annotate,2,user,0,null,0,0,0,0,1281522863454,1281522863,0,0,-1281522863,0,0
newImages,4,sys,0,null,1281522871890,0,0,-1281522871,0,0,0,0,0,-1281522871,0
newImages,4,sys,0,null,1281522996605,0,1281523017107,20,0,-1281523017,0,0,0,-1281522996,0
annotate,2,user,0,null,0,0,0,0,1281523040011,1281523040,0,0,-1281523040,0,0
newImages,4,sys,0,null,1281523106526,0,1281523126439,19,0,-1281523126,0,0,0,-1281523106,0
annotate,2,user,0,null,0,0,0,0,1281523164980,1281523164,0,0,-1281523164,0,0
photo,1,user,0,null,0,0,0,0,1281523197102,1281523197,0,0,-1281523197,0,0
annotate,2,user,0,null,0,0,0,0,1281523210785,1281523210,0,0,-1281523210,0,0
newImages,4,sys,0,null,1281523287572,0,0,-1281523287,0,0,0,0,0,-1281523287,0
newImages,4,sys,0,null,1281523300102,0,1281523303108,3,0,-1281523303,0,0,0,-1281523300,0
newImages,4,sys,0,null,1281523350410,0,1281523366886,16,0,-1281523366,0,0,0,-1281523350,0
annotate,2,user,0,null,0,0,0,0,1281523388066,1281523388,0,0,-1281523388,0,0
newImages,4,sys,0,null,1281523391003,0,0,-1281523391,0,0,0,0,0,-1281523391,0
annotate,2,user,0,null,0,0,0,0,1281523416310,1281523416,0,0,-1281523416,0,0
newImages,4,sys,0,null,1281523446035,0,1281523454807,8,0,-1281523454,0,0,0,-1281523446,0
annotate,2,user,0,null,0,0,0,0,1281523459885,1281523459,0,0,-1281523459,0,0
newImages,4,sys,0,null,1281523484902,0,0,-1281523484,0,0,0,0,0,-1281523484,0
newImages,4,sys,0,null,1281523485234,0,0,-1281523485,0,0,0,0,0,-1281523485,0
newImages,4,sys,0,null,1281523506069,0,0,-1281523506,0,0,0,0,0,-1281523506,0
newImages,4,sys,0,null,1281523527098,0,0,-1281523527,0,0,0,0,0,-1281523527,0
newImages,4,sys,0,null,1281523565792,0,0,-1281523565,0,0,0,0,0,-1281523565,0
annotate,2,user,0,null,0,0,0,0,1281523568154,1281523568,0,0,-1281523568,0,0
newImages,4,sys,0,null,1281523586850,0,1281523752177,165,0,-1281523752,0,0,0,-1281523586,0
annotate,2,user,0,null,0,0,0,0,1281523608216,1281523608,0,0,-1281523608,0,0
annotate,2,user,0,null,0,0,0,0,1281523628079,1281523628,0,0,-1281523628,0,0
annotate,2,user,0,null,0,0,0,0,1281523655070,1281523655,0,0,-1281523655,0,0
annotate,2,user,0,null,0,0,0,0,1281523671545,1281523671,0,1281523736133,64,1281523736,0
newImages,4,sys,0,null,1281523827374,0,1281523837756,10,0,-1281523837,0,0,0,-1281523827,0
annotate,2,user,0,null,0,0,0,0,1281523868205,1281523868,0,0,-1281523868,0,0
annotate,2,user,0,null,0,0,0,0,1281523879559,1281523879,0,0,-1281523879,0,0
newImages,4,sys,0,null,1281523910239,0,0,-1281523910,0,0,0,0,0,-1281523910,0
photo,1,user,0,null,0,0,0,0,1281524258150,1281524258,0,0,-1281524258,0,0
newImages,4,sys,0,null,1281524266473,0,0,-1281524266,0,0,0,0,0,-1281524266,0
newImages,4,sys,0,null,1281524286596,0,0,-1281524286,0,0,0,0,0,-1281524286,0
newImages,4,sys,0,null,1281524357063,0,0,-1281524357,0,0,0,0,0,-1281524357,0
newImages,4,sys,0,null,1281524367898,0,0,-1281524367,0,0,0,0,0,-1281524367,0
photo,1,user,0,null,0,0,0,0,1281524620321,1281524620,0,0,-1281524620,0,0
photo,1,user,0,null,0,0,0,0,1281524640677,1281524640,0,0,-1281524640,0,0
newImages,4,sys,0,null,1281524710329,0,1281525103963,393,0,-1281525103,0,0,0,-1281524710,0
photo,1,user,0,null,0,0,0,0,1281524714554,1281524714,0,0,-1281524714,0,0
photo opportunity,1,sys,10,null,1281524971656,0,1281524991370,19,1281524994296,2,0,1281525068889,74,97,4
annotate,2,user,0,null,0,0,0,0,1281525157933,1281525157,0,0,-1281525157,0,0
annotate,2,user,0,null,0,0,0,0,1281525183189,1281525183,0,0,-1281525183,0,0
photo,1,user,0,null,0,0,0,0,1281525311603,1281525311,0,0,-1281525311,0,0
annotate,2,user,0,null,0,0,0,0,1281525337953,1281525337,0,0,-1281525337,0,0
annotate,2,user,0,null,0,0,0,0,1281525406046,1281525406,0,1281525479843,73,1281525479,0
newImages,4,sys,0,null,1281525450489,0,1281526021285,570,0,-1281526021,0,0,0,-1281525450,0
annotate,2,user,0,null,0,0,0,0,1281525487804,1281525487,0,0,-1281525487,0,0
annotate,2,user,0,null,0,0,0,0,1281526468526,1281526468,0,1281527336235,867,1281527336,0
photo,1,user,0,null,0,0,0,0,1281526494762,1281526494,0,0,-1281526494,0,0
newImages,4,sys,0,null,1281527279743,0,0,-1281527279,0,0,0,0,0,-1281527279,0
newImages,4,sys,0,null,1281527311258,0,1281527353158,41,0,-1281527353,0,0,0,-1281527311,0
annotate,2,user,0,null,0,0,0,0,1281527371290,1281527371,0,0,-1281527371,0,0
newImages,4,sys,0,null,1281527524484,0,1281527538196,13,0,-1281527538,0,0,0,-1281527524,0
newImages,4,sys,0,null,1281527608848,0,0,-1281527608,0,0,0,0,0,-1281527608,0
newImages,4,sys,0,null,1281528088916,0,1281529073555,984,0,-1281529073,0,0,0,-1281528088,0
annotate,2,user,0,null,0,0,0,0,1281529099435,1281529099,0,0,-1281529099,0,0
annotate,2,user,0,null,0,0,0,0,1281529111635,1281529111,0,0,-1281529111,0,0
newImages,4,sys,0,null,1281529207514,0,0,-1281529207,0,0,0,0,0,-1281529207,0
newImages,4,sys,0,null,1281529290341,0,0,-1281529290,0,0,0,0,0,-1281529290,0
photo,1,user,0,null,0,0,0,0,1281529301403,1281529301,0,0,-1281529301,0,0
photo,1,user,0,null,0,0,0,0,1281529321203,1281529321,0,0,-1281529321,0,0
photo,1,user,0,null,0,0,0,0,1281529377114,1281529377,0,0,-1281529377,0,0
photo,1,user,0,null,0,0,0,0,1281529397571,1281529397,0,0,-1281529397,0,0
newImages,4,sys,0,null,1281529415415,0,0,-1281529415,0,0,0,0,0,-1281529415,0
lunch/break,3,sys,9,null,1281529417738,0,0,-1281529417,0,0,0,0,0,-1281529417,0
newImages,4,sys,0,null,1281529452739,0,0,-1281529452,0,0,0,0,0,-1281529452,0
newImages,4,sys,0,null,1281529469538,0,0,-1281529469,0,0,0,0,0,-1281529469,0
newImages,4,sys,0,null,1281529507639,0,0,-1281529507,0,0,0,0,0,-1281529507,0
newImages,4,sys,0,null,1281529573812,0,0,-1281529573,0,0,0,0,0,-1281529573,0
annotate,2,user,0,null,0,0,0,0,1281529590105,1281529590,0,0,-1281529590,0,0
newImages,4,sys,0,null,1281529600936,0,0,-1281529600,0,0,0,0,0,-1281529600,0
newImages,4,sys,0,null,1281529606837,0,0,-1281529606,0,0,0,0,0,-1281529606,0
annotate,2,user,0,null,0,0,0,0,1281529622291,1281529622,0,0,-1281529622,0,0
annotate,2,user,0,null,0,0,0,0,1281529647587,1281529647,0,0,-1281529647,0,0
annotate,2,user,0,null,0,0,0,0,1281529673849,1281529673,0,1281529699726,25,1281529699,0
photo,1,user,0,null,0,0,0,0,1281529712213,1281529712,0,0,-1281529712,0,0
newImages,4,sys,0,null,1281529716219,0,0,-1281529716,0,0,0,0,0,-1281529716,0
newImages,4,sys,0,null,1281529771416,0,0,-1281529771,0,0,0,0,0,-1281529771,0
newImages,4,sys,0,null,1281529776812,0,0,-1281529776,0,0,0,0,0,-1281529776,0
newImages,4,sys,0,null,1281529786480,0,0,-1281529786,0,0,0,0,0,-1281529786,0
lunch/break,3,sys,19,null,1281531553321,0,1281533532618,1979,1281533536661,4,0,0,-1281533536,-1281531553,0
newImages,4,sys,0,null,1281531939396,0,0,-1281531939,0,0,0,0,0,-1281531939,0
newImages,4,sys,0,null,1281532839136,0,1281533177510,338,0,-1281533177,0,0,0,-1281532839,0
Q-Zone,2,sys,56,null,1281533073754,2,1281533139551,65,1281533141275,1,0,0,-1281533141,-1281533073,0
annotate,2,user,0,null,0,0,0,0,1281533182762,1281533182,0,1281533206431,23,1281533206,0
photo,1,user,0,null,0,0,0,0,1281533225554,1281533225,0,0,-1281533225,0,0
newImages,4,sys,0,null,1281533255447,0,1281533288535,33,0,-1281533288,0,0,0,-1281533255,0
annotate,2,user,0,null,0,0,0,0,1281533332148,1281533332,0,0,-1281533332,0,0
annotate,2,user,0,null,0,0,0,0,1281533351032,1281533351,0,0,-1281533351,0,0
annotate,2,user,0,null,0,0,0,0,1281533394372,1281533394,0,0,-1281533394,0,0
newImages,4,sys,0,null,1281533406883,0,0,-1281533406,0,0,0,0,0,-1281533406,0
photo_story,3,user,0,null,0,0,0,0,1281533427280,1281533427,0,0,-1281533427,0,0
newImages,4,sys,0,null,1281533467814,0,1281533544159,76,0,-1281533544,0,0,0,-1281533467,0
annotate,2,user,0,null,0,0,0,0,1281533639066,1281533639,0,0,-1281533639,0,0
photo,1,user,0,null,0,0,0,0,1281533692402,1281533692,0,0,-1281533692,0,0
newImages,4,sys,0,null,1281533709062,0,0,-1281533709,0,0,0,0,0,-1281533709,0
newImages,4,sys,0,null,1281533800592,0,1281533831164,30,0,-1281533831,0,0,0,-1281533800,0
annotate,2,user,0,null,0,0,0,0,1281533878679,1281533878,0,0,-1281533878,0,0
newImages,4,sys,0,null,1281533890408,0,0,-1281533890,0,0,0,0,0,-1281533890,0
photo,1,user,0,null,0,0,0,0,1281534135578,1281534135,0,0,-1281534135,0,0
newImages,4,sys,0,null,1281534159956,0,0,-1281534159,0,0,0,0,0,-1281534159,0
newImages,4,sys,0,null,1281534227981,0,0,-1281534227,0,0,0,0,0,-1281534227,0
annotate,2,user,0,null,0,0,0,0,1281534235014,1281534235,0,0,-1281534235,0,0
newImages,4,sys,0,null,1281534273125,0,0,-1281534273,0,0,0,0,0,-1281534273,0
newImages,4,sys,0,null,1281534370743,0,0,-1281534370,0,0,0,0,0,-1281534370,0
newImages,4,sys,0,null,1281534390333,0,0,-1281534390,0,0,0,0,0,-1281534390,0
newImages,4,sys,0,null,1281534450784,0,0,-1281534450,0,0,0,0,0,-1281534450,0
annotate,2,user,0,null,0,0,0,0,1281534511995,1281534511,0,0,-1281534511,0,0
annotate,2,user,0,null,0,0,0,0,1281534546179,1281534546,0,0,-1281534546,0,0
annotate,2,user,0,null,0,0,0,0,1281534560698,1281534560,0,0,-1281534560,0,0
newImages,4,sys,0,null,1281534667599,0,1281534687449,19,0,-1281534687,0,0,0,-1281534667,0
annotate,2,user,0,null,0,0,0,0,1281534742325,1281534742,0,0,-1281534742,0,0
newImages,4,sys,0,null,1281534870719,0,0,-1281534870,0,0,0,0,0,-1281534870,0
newImages,4,sys,0,null,1281534908561,0,1281534913442,4,0,-1281534913,0,0,0,-1281534908,0
newImages,4,sys,0,null,1281535088918,0,0,-1281535088,0,0,0,0,0,-1281535088,0
photo,1,user,0,null,0,0,0,0,1281535126406,1281535126,0,0,-1281535126,0,0
newImages,4,sys,0,null,1281535174229,0,0,-1281535174,0,0,0,0,0,-1281535174,0
annotate,2,user,0,null,0,0,0,0,1281535227649,1281535227,0,1281535323908,96,1281535323,0
annotate,2,user,0,null,0,0,0,0,1281535336812,1281535336,0,0,-1281535336,0,0
annotate,2,user,0,null,0,0,0,0,1281535355804,1281535355,0,0,-1281535355,0,0
